year,area,area_name,xtype,racecomp,ss
2024,25,Massachusetts,No young children,People of Color,0.463969585
2024,25,Massachusetts,One or more young children,People of Color,0.239872028
2024,26,Michigan,No young children,Total,0.595965857
2024,26,Michigan,One or more young children,Total,0.427899923
2024,26,Michigan,No young children,White,0.623119155
2024,26,Michigan,One or more young children,White,0.472635711
2024,26,Michigan,No young children,People of Color,0.504904585
2024,26,Michigan,One or more young children,People of Color,0.328425717
2024,27,Minnesota,No young children,Total,0.616008773
2024,27,Minnesota,One or more young children,Total,0.387498037
2024,27,Minnesota,No young children,White,0.633536843
2024,27,Minnesota,One or more young children,White,0.443522019
2024,27,Minnesota,No young children,People of Color,0.526026864
2024,27,Minnesota,One or more young children,People of Color,0.24046159
2024,28,Mississippi,No young children,Total,0.529651093
2024,28,Mississippi,One or more young children,Total,0.425373558
2024,28,Mississippi,No young children,White,0.596333369
2024,28,Mississippi,One or more young children,White,0.53677189
2024,28,Mississippi,No young children,People of Color,0.436363931
2024,28,Mississippi,One or more young children,People of Color,0.29422338
2024,29,Missouri,No young children,Total,0.602425252
2024,29,Missouri,One or more young children,Total,0.424878519
2024,29,Missouri,No young children,White,0.628403891
2024,29,Missouri,One or more young children,White,0.479679548
2024,29,Missouri,No young children,People of Color,0.4978467
2024,29,Missouri,One or more young children,People of Color,0.255353404
2024,30,Montana,No young children,Total,0.648864233
2024,30,Montana,One or more young children,Total,0.396802041
2024,30,Montana,No young children,White,0.668645925
2024,30,Montana,One or more young children,White,0.431105066
2024,30,Montana,No young children,People of Color,0.50969903
2024,30,Montana,One or more young children,People of Color,0.25662788
2024,31,Nebraska,No young children,Total,0.598883172
2024,31,Nebraska,One or more young children,Total,0.359858439
2024,31,Nebraska,No young children,White,0.620920669
2024,31,Nebraska,One or more young children,White,0.42396508
2024,31,Nebraska,No young children,People of Color,0.484148056
2024,31,Nebraska,One or more young children,People of Color,0.208235494
2024,32,Nevada,No young children,Total,0.599942499
2024,32,Nevada,One or more young children,Total,0.379187402
2024,32,Nevada,No young children,White,0.642816288
2024,32,Nevada,One or more young children,White,0.537224044
2024,32,Nevada,No young children,People of Color,0.544399699
2024,32,Nevada,One or more young children,People of Color,0.283450188
2024,33,New Hampshire,No young children,Total,0.6504213
2024,33,New Hampshire,One or more young children,Total,0.520491297
2024,33,New Hampshire,No young children,White,0.649016853
2024,33,New Hampshire,One or more young children,White,0.546253112
2024,33,New Hampshire,No young children,People of Color,0.664267162
2024,33,New Hampshire,One or more young children,People of Color,0.391806103
2024,34,New Jersey,No young children,Total,0.614481577
2024,34,New Jersey,One or more young children,Total,0.444575543
2024,34,New Jersey,No young children,White,0.654978169
2024,34,New Jersey,One or more young children,White,0.537935542
2024,34,New Jersey,No young children,People of Color,0.55432447
2024,34,New Jersey,One or more young children,People of Color,0.37174609
2024,35,New Mexico,No young children,Total,0.595844309
2024,35,New Mexico,One or more young children,Total,0.422855252
2024,35,New Mexico,No young children,White,0.655972877
2024,35,New Mexico,One or more young children,White,0.550127434
2024,35,New Mexico,No young children,People of Color,0.54330066
2024,35,New Mexico,One or more young children,People of Color,0.369582722
2024,36,New York,No young children,Total,0.523733937
2024,36,New York,One or more young children,Total,0.318291019
2024,36,New York,No young children,White,0.600452105
2024,36,New York,One or more young children,White,0.427578318
2024,36,New York,No young children,People of Color,0.405174758
2024,36,New York,One or more young children,People of Color,0.210736028
2024,37,North Carolina,No young children,Total,0.574863731
2024,37,North Carolina,One or more young children,Total,0.438044338
2024,37,North Carolina,No young children,White,0.61342181
2024,37,North Carolina,One or more young children,White,0.528647793
2024,37,North Carolina,No young children,People of Color,0.498774849
2024,37,North Carolina,One or more young children,People of Color,0.325034084
2024,38,North Dakota,No young children,Total,0.668614954
2024,38,North Dakota,One or more young children,Total,0.515273832
2024,38,North Dakota,No young children,White,0.676952206
2024,38,North Dakota,One or more young children,White,0.590679202
2024,38,North Dakota,No young children,People of Color,0.620143672
2024,38,North Dakota,One or more young children,People of Color,0.295678186
2024,39,Ohio,No young children,Total,0.629854696
2024,39,Ohio,One or more young children,Total,0.454228257
2024,39,Ohio,No young children,White,0.660537468
2024,39,Ohio,One or more young children,White,0.508833825
2024,39,Ohio,No young children,People of Color,0.509697624
2024,39,Ohio,One or more young children,People of Color,0.316853129
2024,40,Oklahoma,No young children,Total,0.573651875
2024,40,Oklahoma,One or more young children,Total,0.384253548
2024,40,Oklahoma,No young children,White,0.598692201
2024,40,Oklahoma,One or more young children,White,0.43599713
2024,40,Oklahoma,No young children,People of Color,0.514162454
2024,40,Oklahoma,One or more young children,People of Color,0.307520778
2024,41,Oregon,No young children,Total,0.507306509
2024,41,Oregon,One or more young children,Total,0.3336903
2024,41,Oregon,No young children,White,0.515433337
2024,41,Oregon,One or more young children,White,0.368488852
2024,41,Oregon,No young children,People of Color,0.475644016
2024,41,Oregon,One or more young children,People of Color,0.264677351
2024,42,Pennsylvania,No young children,Total,0.591458817
2024,42,Pennsylvania,One or more young children,Total,0.440438538
2024,42,Pennsylvania,No young children,White,0.618976946
2024,42,Pennsylvania,One or more young children,White,0.512628021
2024,42,Pennsylvania,No young children,People of Color,0.492332651
2024,42,Pennsylvania,One or more young children,People of Color,0.288203902
2024,44,Rhode Island,No young children,Total,0.605046085
2024,44,Rhode Island,One or more young children,Total,0.517935114
2024,44,Rhode Island,No young children,White,0.636942411
2024,44,Rhode Island,One or more young children,White,0.626979008
2024,44,Rhode Island,No young children,People of Color,0.503005717
2024,44,Rhode Island,One or more young children,People of Color,0.376767486
